SYS,SID,RAW.SCR,Z.SCR1,N,Z.SCR
DCU-adapt,1763,53,-0.168629696470963,2,0.552535939026041
DCU-adapt,1593,53,-0.168629696470963,2,0.552535939026041
DCU-adapt,815,50,-0.246626535009535,2,0.539097366894179
DCU-adapt,1225,83,0.451596073352462,2,0.659398587589546
DCU-adapt,1162,49.5,-0.264666391728236,2,0.535989165070809
DCU-adapt,1697,49.5,-0.264666391728236,2,0.535989165070809
DCU-adapt,626,14,-1.72627006327666,2,0.284160158455565
DCU-adapt,1573,52.75,-0.594556494180828,4,0.479150298003086
DCU-adapt,1646,50,-0.244080424523328,2,0.539536052487925
DCU-adapt,934,47.5,-0.347010260547865,2,0.521801615402344
DCU-adapt,1244,48,-0.326424293342958,2,0.52534850281946
DCU-adapt,1353,66.5,-0.028442396045875,2,0.576689701973778
DCU-adapt,1784,60.5,-0.043624557862519,2,0.574073870607874
DCU-adapt,1769,95.5,0.70184481255426,2,0.702515536887534
DCU-adapt,1226,94.5,0.660672878144446,2,0.695421762053302
DCU-adapt,1710,9,-1.24089723717034,1,0.367788134367049
DCU-adapt,1101,12,-1.15245650042363,1,0.38302615224617
DCU-adapt,1210,17,-1.00505527251244,1,0.408422848711374
DCU-adapt,1286,14,-1.09349600925916,1,0.393184830832251
DCU-adapt,966,5,-1.3588182194993,1,0.347470777194885
DCU-adapt,1633,16,-1.03453551809468,1,0.403343509418333
DCU-adapt,988,100,1.4418051108133,1,0.830008010033746
DCU-adapt,113,21,-0.887134290183491,1,0.428740205883536
DCU-adapt,481,13,-1.12297625484139,1,0.388105491539212
DCU-adapt,1206,82,0.911160690333015,1,0.738579902759014
DCU-adapt,1256,99,1.41232486523106,1,0.824928670740705
DCU-adapt,1063,35,-0.607043383241542,2,0.476998852348503
DCU-adapt,1777,43.5,-0.419255541218217,2,0.509354015811561
DCU-adapt,1749,23.5,-1.00196242366841,2,0.408955735339373
DCU-adapt,1481,19.5,-1.06028881116846,2,0.398906310512715
DCU-adapt,41,16,-1.20674755435375,2,0.373672000744326
DCU-adapt,395,12,-1.31450176269436,2,0.355106341822382
DCU-adapt,586,43.5,-0.290194009023429,2,0.531590849282581
DCU-adapt,1594,90.5,0.9786639290254,2,0.750210465731811
DCU-adapt,48,37.5,-0.605600764149408,2,0.477247410381004
DCU-adapt,219,14.5,-1.2251874621079,2,0.370494871579834
DCU-adapt,290,37,-0.558658259164634,2,0.485335433576665
DCU-adapt,508,16.5,-1.23446812901164,2,0.368895846363498
DCU-adapt,313,99,0.875305242190591,2,0.732402139208458
DCU-adapt,629,44,-0.540423659501386,2,0.488477188902415
DCU-adapt,1330,50.5,-0.581775202255399,2,0.481352468202501
DCU-adapt,706,99.5,0.891096165315324,2,0.735122857937788
DCU-adapt,501,87,0.499568265399306,2,0.667664022127976
DCU-adapt,429,86.5,0.487022520476883,2,0.665502435822083
DCU-adapt,126,88,0.602544032099587,2,0.685406372902247
DCU-adapt,1094,88,0.602544032099587,2,0.685406372902247
DCU-adapt,1013,33,-1.02087627454022,2,0.405696947496243
DCU-adapt,1322,13,-1.52270607143715,2,0.319233495260521
DCU-adapt,145,99.5,0.887850987113015,2,0.734563725514351
DCU-adapt,1436,98,0.850213752345745,2,0.728078966596672
DCU-adapt,907,68.5,-0.218899230276212,2,0.543874680842572
DCU-adapt,754,92,0.62053922062469,2,0.688506878558018
DCU-adapt,546,84.5,0.320776358144406,2,0.63685882556799
DCU-adapt,1740,79,0.144727000435157,2,0.606526160338569
DCU-adapt,888,82,0.217081546963366,2,0.618992586039999
DCU-adapt,536,53.5,-0.750495528859778,2,0.452282568426204
DCU-adapt,1570,88.5,0.488952370246636,2,0.665834941931567
DCU-adapt,53,50,-1.0349235885861,2,0.403276646281456
DCU-adapt,194,57,-0.7774106733614,2,0.447645186737385
DCU-adapt,1461,51.5,-0.99308552979057,2,0.410485191929146
DCU-adapt,598,90,0.518053661596469,4,0.670848988786064
DCU-adapt,863,83.5,0.267410784056014,2,0.627664130883148
DCU-adapt,1690,100,1.07110326380449,1,0.766137427535985
DCU-adapt,1161,73,0.426794739292487,1,0.655125407766154
DCU-adapt,150,0,-1.31522460475848,1,0.354981798758835
DCU-adapt,1369,100,1.07110326380449,1,0.766137427535985
DCU-adapt,1362,76.5,0.510316214692192,2,0.669515854773355
DCU-adapt,1808,37,-0.432283293390182,1,0.50710938140638
DCU-adapt,1036,49,-0.145923949162626,1,0.556448056859638
DCU-adapt,322,11,-1.05272853921655,1,0.400208917924322
DCU-adapt,1832,7,-1.14818165395907,1,0.383762692773236
DCU-adapt,105,44,-0.265240342590774,1,0.535890275420781
DCU-adapt,144,63,0.18816195243619,1,0.614009844888439
DCU-adapt,1756,8,-1.12431837527344,1,0.387874249061007
DCU-adapt,578,0,-1.31522460475848,1,0.354981798758835
DCU-adapt,422,100,1.07110326380449,1,0.766137427535985
DCU-adapt,365,58,0.068845559008042,1,0.593452063449582
DCU-adapt,64,100,1.07110326380449,1,0.766137427535985
DCU-adapt,937,33,-0.527736408132701,1,0.490663156255294
DCU-adapt,138,1,-1.29136132607285,1,0.359093355046606
DCU-adapt,1015,3,-0.987353645391938,1,0.411472774802834
DCU-adapt,624,3,-0.987353645391938,1,0.411472774802834
DCU-adapt,1017,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,1610,32,-0.285558162147668,1,0.532389588869973
DCU-adapt,1456,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,1003,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,288,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,975,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,1127,3,-0.987353645391938,1,0.411472774802834
DCU-adapt,1688,2,-1.01155348964174,1,0.407303229490174
DCU-adapt,1761,85,0.997033583091859,1,0.753375490440952
DCU-adapt,527,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,931,4,-0.963153801142136,1,0.415642320115494
DCU-adapt,737,95,1.23903202558988,1,0.795070943567551
DCU-adapt,215,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,371,10,-0.817954735643321,1,0.440659591991454
DCU-adapt,605,1,-1.03575333389154,1,0.403133684177514
DCU-adapt,1280,0,-1.59563251850214,1,0.306668533172748
DCU-adapt,553,50,-0.30986900641339,2,0.528200918657529
DCU-adapt,895,0,-1.59563251850214,1,0.306668533172748
DCU-adapt,1523,0,-1.59563251850214,1,0.306668533172748
DCU-adapt,1507,41,-0.541306438589363,1,0.488325089270268
DCU-adapt,948,5,-1.46705616729326,1,0.328821771721227
DCU-adapt,497,100,0.97589450567536,1,0.749733304142309
DCU-adapt,0,100,0.97589450567536,1,0.749733304142309
DCU-adapt,98,74,0.307297479389211,1,0.634536463690224
DCU-adapt,731,100,0.97589450567536,1,0.749733304142309
DCU-adapt,775,100,0.97589450567536,1,0.749733304142309
DCU-adapt,171,0,-1.59563251850214,1,0.306668533172748
DCU-adapt,1781,59,-0.589772698308129,1,0.479974528665557
DCU-adapt,467,78,0.155285896629002,1,0.608345419821293
DCU-adapt,1313,73,-0.040782154670243,1,0.574563606359258
DCU-adapt,687,56,-0.707413529087676,1,0.459705440588336
DCU-adapt,277,12,-2.43281238052103,1,0.162425482122422
DCU-adapt,1670,77,0.116072286369153,1,0.601589057128886
DCU-adapt,767,80,0.2337131171487,1,0.621858145206108
DCU-adapt,1142,84,0.390567558188096,1,0.648883595975736
DCU-adapt,1283,81,0.272926727408549,1,0.628614507898515
DCU-adapt,1164,79,0.194499506888851,1,0.6151017825137
DCU-adapt,733,85,0.429781168447945,1,0.655639958668144
DCU-adapt,1500,5,-2.70730765233997,1,0.115130943275572
DCU-adapt,952,79,0.194499506888851,1,0.6151017825137
DCU-adapt,1234,17,-2.23674432922179,1,0.196207295584457
DCU-adapt,164,83,0.351353947928247,1,0.642127233283329
DCU-adapt,663,89,0.586635609487341,1,0.682665409437772
DCU-adapt,1158,86,0.468994778707794,1,0.662396321360551
DCU-adapt,1219,37.5,-0.115200682474317,2,0.561741564176773
DCU-adapt,14,6.5,-1.2901877102385,2,0.359295564794341
DCU-adapt,324,30,-0.720381577857207,2,0.457471092862657
DCU-adapt,1462,5.5,-1.32809051758574,2,0.352765048685229
DCU-adapt,944,25,-0.588985774314715,2,0.480110112812889
DCU-adapt,1187,91.5,1.2184179358792,2,0.791519210744783
DCU-adapt,1735,19.25,-0.806926916561298,4,0.442559645185502
DCU-adapt,1768,39,-0.05834647145347,2,0.571537338340439
DCU-adapt,558,18,-0.854305425745338,2,0.434396500049114
DCU-adapt,1056,18.5,-0.835354022071721,2,0.437661758103669
DCU-adapt,309,43,0.093264757935458,2,0.597659402776881
DCU-adapt,56,21.5,-0.721645600030026,2,0.457253306431001
DCU-adapt,24,10,-1.15752788452319,2,0.382152371176229
DCU-adapt,404,60,0.0244795044414,2,0.585807953307796
DCU-adapt,583,23,-0.664791389009179,2,0.467049080594667
DCU-adapt,1335,10.5,-1.13857648084958,2,0.385417629230783
DCU-adapt,1059,20,-0.778499811050874,2,0.447457532267335
DCU-adapt,385,0,-0.846706823950233,2,0.435705711553556
DCU-adapt,542,100,1.3956311632061,1,0.822052406484183
DCU-adapt,845,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,490,50,0.274462169627936,1,0.62887905901887
DCU-adapt,1770,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,635,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,1799,50,0.274462169627936,1,0.62887905901887
DCU-adapt,800,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,924,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,278,0,-0.846706823950233,2,0.435705711553556
DCU-adapt,1028,0,-0.846706823950233,2,0.435705711553556
DCU-adapt,339,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,1189,50,0.274462169627936,1,0.62887905901887
DCU-adapt,1146,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,1583,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,1375,0,-0.846706823950233,1,0.435705711553556
DCU-adapt,1786,54.5,-0.169344703912931,2,0.552412745839449
DCU-adapt,1022,44,-0.8510085626974,2,0.434964537583823
DCU-adapt,681,50,-0.649467020020309,2,0.469689413740098
DCU-adapt,1745,45,-0.446276997882477,2,0.504698316923059
DCU-adapt,89,45.5,-0.409800133311549,2,0.510983148268347
DCU-adapt,1539,38,-0.703902210260417,2,0.460310428075294
DCU-adapt,1086,43.5,-0.505097413272251,2,0.494563772884449
DCU-adapt,896,53,-0.216918413008703,2,0.544215968466894
DCU-adapt,929,60.5,-0.024036692705855,4,0.577448788665442
DCU-adapt,807,63,0.062750626649766,2,0.592401928730403
DCU-adapt,939,90,0.800986974286629,2,0.719597371442793
DCU-adapt,54,54,-0.610702995067935,2,0.476368314516136
DCU-adapt,1837,95.5,1.0166618307158,2,0.756757366251033
DCU-adapt,928,71.5,0.306092663506465,2,0.634328878287414
DCU-adapt,1285,43.5,-0.493850706978252,2,0.496501539550504
DCU-adapt,234,38.5,-1.02169659395056,2,0.405555609439809
DCU-adapt,1741,48,-0.649167296481991,2,0.469741055017678
DCU-adapt,1766,71,0.258369092641535,2,0.62610628027607
DCU-adapt,1515,100,0.472595349602961,1,0.663016686654801
DCU-adapt,839,50,-1.36486712941322,1,0.346428571975796
DCU-adapt,1599,100,0.472595349602961,1,0.663016686654801
DCU-adapt,1629,50,-1.36486712941322,1,0.346428571975796
DCU-adapt,1380,50,-1.36486712941322,1,0.346428571975796
DCU-adapt,231,100,0.472595349602961,1,0.663016686654801
DCU-adapt,571,100,0.472595349602961,1,0.663016686654801
DCU-adapt,44,100,0.472595349602961,1,0.663016686654801
DCU-adapt,18,100,0.472595349602961,1,0.663016686654801
DCU-adapt,1394,100,0.472595349602961,1,0.663016686654801
DCU-adapt,1133,100,0.472595349602961,1,0.663016686654801
DCU-adapt,894,98,0.505935097369237,1,0.668761004163178
DCU-adapt,532,100,0.572418027378335,2,0.680215771653824
DCU-adapt,1170,100,0.572418027378335,2,0.680215771653824
DCU-adapt,119,100,0.572418027378335,1,0.680215771653824
DCU-adapt,488,25,-1.92069184796285,1,0.250661990754593
