SYS,SID,RAW.SCR,Z.SCR,N,HIT
INF,1467,16.4166666666667,-0.466875363150427,24,1
INF,1774,89.4166666666667,1.42635111949822,24,1
INF,181,16.7083333333333,-0.442147616536401,24,1
INF,960,12.4583333333333,-0.557642858913324,24,1
INF,820,14.625,-0.515511326013279,24,1
INF,237,93.0454545454545,1.63311728376878,22,5
INF,507,63.7727272727273,0.769435194226369,44,5
INF,950,5.86363636363636,-0.661347201629485,22,5
INF,1797,59.6818181818182,0.722865923862858,22,5
INF,1377,28.3181818181818,-0.104778140504221,22,5
INF,805,20.7727272727273,-0.327268445760675,22,5
INF,1066,19.9545454545455,-0.204006115309604,22,5
INF,107,37.8181818181818,0.19286744354609,22,5
INF,1199,17.55,-0.584409338006829,20,10
INF,527,69.9,0.765982120738343,20,10
INF,659,73.15,0.851646466924105,20,10
INF,739,91.7,1.32755243174113,20,10
INF,883,54.55,0.33060252573229,20,10
INF,1487,67.65,0.71035455195069,20,10
INF,1397,41.5217391304348,-9.38347424565821E-05,23,19
INF,1485,85.304347826087,1.13298531688169,23,19
INF,639,15.7391304347826,-0.586048952498384,23,19
INF,991,82.4782608695652,1.06959326631396,23,19
INF,1102,84.0869565217391,1.1134557731484,23,19
INF,1796,8,-0.812845372753489,23,19
INF,1284,24.8695652173913,-0.308163627309719,23,19
INF,1077,40.2608695652174,0.002636873427222,23,19
INF,1288,11.3478260869565,-0.709582102158554,23,19
INF,762,66.7826086956522,0.680953287493757,23,19
